date,Benchmark,Benchmark_acf,Benchmark_ese,Benchmark_lower,Benchmark_sqe,Benchmark_sse,Benchmark_upper,MMN,MMN_acf,MMN_alpha,MMN_beta,MMN_ese,MMN_gamma,MMN_lower,MMN_m,MMN_sqe,MMN_sse,MMN_upper,adj_close
2015-01-02,,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,103.86395724039
2015-01-05,,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,100.9379443592
2015-01-06,,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,100.94744440102
2015-01-07,,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,102.36295063250999
2015-01-08,,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,106.29596794683
2015-01-09,,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,106.40996844870001
2015-01-12,,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,103.78795690580999
2015-01-13,,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,104.70946096255
2015-01-14,,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,104.31045920603
2015-01-15,,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,101.47944674306
2015-01-16,,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,100.69094327183001
2015-01-20,,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,103.28445468924
2015-01-21,,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,104.07295816047
2015-01-22,,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,106.78047007976
2015-01-23,,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,107.33147250543001
2015-01-26,,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,107.4454730073
2015-01-27,,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,103.68345644576999
2015-01-28,,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,109.54498224996999
2015-01-29,109.54498224996999,3.4105150141100182,0.0,103.68345644576999,11.631612661469857,11.631612661469857,103.68345644576999,108.1099529428685,4.845544321211506,0.7000000000000001,0.0,11.847687107355215,0.0,-647.6557978407254,0.0,23.479299768825072,23.479299768825072,780.4495146708746,112.95549726408001
2015-01-30,112.95549726408001,-1.6530072770300137,0.0,109.54498224996999,2.7324330579141805,14.364045719384038,109.54498224996999,113.19707443205647,-1.8945844450064726,1.0,0.02,0.8570171613463033,0.0,-666.2518751014316,0.0,3.589450219260484,27.068749988085557,935.9228518208981,111.30248998705
