date,AMN,AMN_acf,AMN_alpha,AMN_beta,AMN_ese,AMN_gamma,AMN_lower,AMN_m,AMN_sqe,AMN_sse,AMN_upper,Benchmark,Benchmark_acf,Benchmark_ese,Benchmark_lower,Benchmark_sqe,Benchmark_sse,Benchmark_upper,adj_close
2015-01-02,,,,,0.0,,,,0.0,0.0,,,,0.0,,0.0,0.0,,103.86395724039
2015-01-05,,,,,0.0,,,,0.0,0.0,,,,0.0,,0.0,0.0,,100.9379443592
2015-01-06,,,,,0.0,,,,0.0,0.0,,,,0.0,,0.0,0.0,,100.94744440102
2015-01-07,,,,,0.0,,,,0.0,0.0,,,,0.0,,0.0,0.0,,102.36295063250999
2015-01-08,,,,,0.0,,,,0.0,0.0,,,,0.0,,0.0,0.0,,106.29596794683
2015-01-09,,,,,0.0,,,,0.0,0.0,,,,0.0,,0.0,0.0,,106.40996844870001
2015-01-12,,,,,0.0,,,,0.0,0.0,,,,0.0,,0.0,0.0,,103.78795690580999
2015-01-13,,,,,0.0,,,,0.0,0.0,,,,0.0,,0.0,0.0,,104.70946096255
2015-01-14,,,,,0.0,,,,0.0,0.0,,,,0.0,,0.0,0.0,,104.31045920603
2015-01-15,,,,,0.0,,,,0.0,0.0,,,,0.0,,0.0,0.0,,101.47944674306
2015-01-16,103.86395724039,-3.173013968559985,0.0,0.0,9.446279920535048,0.0,97.67790068696137,0.0,10.068017644676786,10.068017644676786,109.4881264799841,101.47944674306,-0.788503471229987,0.0,104.31045920603,0.6217377241417389,0.6217377241417389,104.31045920603,100.69094327183001
2015-01-20,100.69094327183001,2.593511417409985,1.0,0.0,0.0,0.0,95.4127692823554,0.0,6.72630147223595,16.794319116912735,107.368961331417,100.69094327183001,2.593511417409985,0.0,101.47944674306,6.72630147223595,7.348039196377689,101.47944674306,103.28445468924
2015-01-21,103.28445468924,0.7885034712300012,1.0,0.0,0.0,0.0,94.12253524821647,0.0,0.6217377241417613,17.4160568410545,106.9117352975346,103.28445468924,0.7885034712300012,0.0,100.69094327183001,0.6217377241417613,7.96977692051945,100.69094327183001,104.07295816047
2015-01-22,104.07295816047,2.707511919289999,1.0,0.0,0.0,0.0,97.11238247622985,0.0,7.330620793097414,24.74667763415191,109.67422263721093,104.07295816047,2.707511919289999,0.0,103.28445468924,7.330620793097414,15.300397713616864,103.28445468924,106.78047007976
2015-01-23,106.78047007976,0.5510024256700206,1.0,0.0,0.0,0.0,98.68604287281602,0.0,0.3036036730942465,25.05028130724616,109.50193361335226,106.78047007976,0.5510024256700206,0.0,104.07295816047,0.3036036730942465,15.60400138671111,104.07295816047,107.33147250543001
