date,Benchmark,Benchmark_acf,Benchmark_ese,Benchmark_lower,Benchmark_sqe,Benchmark_sse,Benchmark_upper,MNN,MNN_acf,MNN_alpha,MNN_beta,MNN_ese,MNN_gamma,MNN_lower,MNN_m,MNN_sqe,MNN_sse,MNN_upper,adj_close
2015-01-02,,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,103.86395724039
2015-01-05,,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,100.9379443592
2015-01-06,,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,100.94744440102
2015-01-07,,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,102.36295063250999
2015-01-08,,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,106.29596794683
2015-01-09,,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,106.40996844870001
2015-01-12,,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,103.78795690580999
2015-01-13,,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,104.70946096255
2015-01-14,,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,104.31045920603
2015-01-15,,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,101.47944674306
2015-01-16,,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,100.69094327183001
2015-01-20,,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,103.28445468924
2015-01-21,,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,104.07295816047
2015-01-22,,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,106.78047007976
2015-01-23,,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,107.33147250543001
2015-01-26,,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,107.4454730073
2015-01-27,,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,103.68345644576999
2015-01-28,,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,109.54498224996999
2015-01-29,,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,112.95549726408001
2015-01-30,,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,111.30248998705
2015-02-02,,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,112.69899613488998
2015-02-03,,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,112.71799621853
2015-02-04,,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,113.58250002433998
2015-02-05,,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,114.39000357921002
2015-02-06,,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,113.42673941701
